number,author,title

38593,cptpcrd,net/http: document potential dangers of Dir's symlink-following behavior
38572,witchard,cmd/go/internal/modget: improve GOINSECURE docs
38566,qingyunha,runtime: remove unnecessary uint32 convert for bits
38549,qingyunha,runtime: update mspan comment
38543,rolandshoemaker,encoding/asn1: clarify use of SET suffix
38534,medcl,net/http: fix infinite 301 redirects of http.FileServe
38430,GeorgeSen,container/list: modify the move function
38353,nerd2,net/http: httputil: reverse quit logic in DumpRequestOut to fix lockup
38324,klauspost,compress/flate: improve decompression speed
38322,nerd2,net/http: fix request body race in httputil DumpRequestOut
38281,rolandshoemaker,encoding/asn1: only accept minimally encoded base 128 integers
38263,colinking,database/sql: count connections expired in foreground with MaxLifetimeClosed
38228,rolandshoemaker,encoding/asn1: sort order of 'SET of' components during Marshal
38189,mdwhatcott,test2json: associate streaming log output with the originating test
38176,staticmukesh,cmd/cover: change coverage precision to .2f
38022,carlmjohnson,html/template: escape JS/JSON with \u
38021,piec,net/http/httputil: make Switching Protocol requests (e.g. Websockets) cancelable
37981,sukop,math/big: fix typo in Lucas chain
37949,hugolgst,strings: change examples for ToTitle and Title, fixes #37334
37944,brianonn,cmd/go, flag: make undefined flag msg less ambiguous. Fixes #36364
37919,brompwnie,doc/faq: update the MITM reference to "machine-in-the-middle" 
37879,draveness,runtime: remove duplicate disable wb operation
37868,JAicewizard,go/doc: make formatting comments more flexible using an interface
37812,sadag,net/http/httputil: improve compatibility with server sent events
37517,sipasing,AUTHORS file: correct organization name
37403,gawen,cmd/internal/objabi: enable frame-pointer for iOS arm64
37228,aka-rider,errors: add new function Temporary(error) bool
37148,BurtonQin,src/runtime/testdata/testprogcgo: fix goroutine leak on timeout
36979,tiriplicamihai,os: document Process.Pid
36910,kirillx,encoding/base64: improve performance up to 20% total
36903,husio,os: error testing functions respect Unwrapper interface
36826,tuxillo,os: do not use procfs for os.Executable in dragonfly
36815,pjebs,strconv: Add ParseComplex and FormatComplex
36727,SataQiu,cmd/dist: ensure that cmd/internal/objabi/zbootstrap.go is cleaned properly
36715,GrigoriyMikhalkin,cmd/go: validate module path in mod why
36692,ncruces,html/template: remove RawGit link from docs
36678,dunglas,net/http/httputil: add support for X-Forwarded-Proto, X-Forwarded-Host and an option to not trust forwarded headers in ReverseProxy
36674,ChiragSukhala, doc/articles/wiki/index.html: Added Missing Package
36552,tenderlove,runtime/runtime2: pack the sudog struct
36537,ololosha228,fix of #36535 issue
36500,cpu,crypto/tls: create certs w/o KeyEncipherment KU for non-RSA keys in generate_cert.go
36454,petar-dambovaliev,solves #issues/36450
36412,sleepingj,add a scope variable choose
36382,nhooyr,net/http: fix Transport upgrading responses for non-keep-alive requests
36378,dkumor,net/http/httputil: handle escaped paths in SingleHostReverseProxy
36358,GrigoriyMikhalkin,cmd/go: do not allow main module to replace itself
36341,xaionaro,encoding/asn1: optimize asn1.Unmarshal
36271,viile,database/sql: support db filed value is NULL with  variable type is string
36256,stefaro,os: check whence value before trying to seek
36244,GrigoriyMikhalkin,cmd/go: return user provided path instead of mangled ImportPath
36239,ivzhh,cmd/compile: remove unnecessary MOV in channel receiving
36203,zhiqiangxu,runtime: state more explicitly the behavior for buffered channels in the chansend's fast path under extreme conditions.
36198,wcc526,path/filepath: fix readDirNames to not unconditionally read a directory
36092,voronaam,testing: print extra precision in the benchmark output
36078,zhiqiangxu,runtime: call osyield directly in lockextra
36066,SilverRainZ,cmd/go: add -Wl,-E to linker flag whitelist (shortcut of --export-dynamic)
35909,CannibalVox,cmd/go: make cgo pkg-config work w/ lib paths that have spaces
35893,sngchlko,net: support TCP half-close when HTTP is upgraded in ReverseProxy
35859,linzhp,cmd/go/internal/modget: get correct first element of import path
35764,Segflow,cmd/compile: return LITERAL on INDEXMAP when map and key are LITERALs
35682,jamdagni86,path/filepath: Glob fails if it has a wildcard and ends with /
35681,novalagung,net/http: add additional doc regarding http request context cancel behaviour
35540,paragonie-scott,crypto/rand: detect biases in rand.Int(), clarify internals
35320,qingyu31,encoding/json: prevent compact twice to improve precomputed performance.
35191,tjenkinson,database/sql: prevent ErrBadConn from driver.Open()
35126,meme,cmd/link: fix nil dereference
35110,im-kulikov,crypto/elliptic: implement unmarshal for compressed format
35040,lemmerelassal,encoding/binary: removal of unnecessary boundary checks.
35017,kindermoumoute,text/tabwriter: add ANSI Graphics Rendition format
34995,amwolff,bytes, strings: make Title treat Unicode punctuation as separators
34876,ZYunH,math/rand: add NewLockedSource
34843,niallnsec,debug/pe: limit the maximum size of the string table buffer to 1MB
34832,artemyarulin,expvar: make possible to delete all exported variables
34797,ambernardino,mime/multipart: Always show cte header 
34741,caarlos0,testing/iotest: adds FailReader
34709,raphi011,cmd/go: handle ldflag escapes in pkg-config output
34706,alex,bufio: optimize bufio.Reader.ReadString to avoid an allocation and copy
34647,babolivier,encoding/json: fix byte counter increments when using decoder.Token()
34629,psampaz,cmd/api: simplify building files list in Walker.ImportFrom
34507,alex,encoding/csv: optimize Write by giving fieldNeedsQuotes a fast path for when Comma is ascii
34452,klnusbaum,net: add text marshalling and unmarshalling for HardwareAddr
34430,ZYunH,net/url: use conversion table in shouldEscape
34419,dnephin,cmd/test2json: attribute output to the correct test
34319,qyb225,net/http: fix reading cookie mistake if ";;" exists, most browsers like Chrome, Safari can handle such a cookie 
34128,klauspost,compress/flate: fix deflate Reset consistency
34104,doddi,cmd/go: package modules into mod format for upload
33900,XVilka,Add c-shared mode for openbsd/amd64
33882,hullarb,net/http: improve FileServer error logging
33870,changkun,runtime: move forcegchelper to gcenable
33682,drivebyer,runtime: fix the Goroutine scheduler comment
33572,Stebalien,encoding/binary: fix error on unexpected EOF while reading a varint
33416,bserdar,encoding/json: This CL adds Decoder.InternKeys
33394,nsajko,math: replace exported variables with runtime.KeepAlive in benchmarks
33343,liuchang0812,mod: wrong require when migrate from dep with source config
33318,bodgit,crypto/x509: add SignatureAlgorithm.Hash()
33248,elbeardmorez,runtime: fix gdb pretty print for slices
33218,branelmoro,Fixes #31514 - implement partial flush for decompressor
33144,zspcn,crypto/x509: include ed25519 in MarshalPKIXPublicKey error message
33118,philip-firstorder,archive/zip: fix zip64 extra headers problems
33048,blindpirate,mime/multipart: make sure all contents are read from multipart form
32788,DeedleFake,misc/wasm: make wasm_exec.js compatible with create-react-app
32787,kezhuw,reflect: keep RO flags unchanged in Value.Addr
32619,Al2Klimov,os: open(2) files w/o blocking
32522,dbolkensteyn,encoding/xml: use a depth counter rather than recursion in Decoder.Skip()
32520,araujobsd,runtime: Allow users of FreeBSD OS to choose between MADV_FREE and MADV_DONTNEED.
32429,abhishekkr,cmd/go: create GOTMPDIR if missing instead of failing
32302,nishaad78,database/sql: run prepare & execute commands on the same conn from DB pool
31994,mfojtik,os: return link destination on error
31875,samwelkey,container/ring: optimize the Move method of the Ring struct
31867,TheTesla,GetConfigForClient replaces cert and key arguments
31738,zte-majiang,cmd/link, runtime: reserve 48 bytes in stack frame for ppc64
31729,haosdent,cmd/go: respect -mod=readonly when performing 'mod verify'
31709,WWWSpider,Add 'EmptyValue' interface, empty if element is struct and all fields within it is also empty.
31627,Al2Klimov,net: introduce ListenConfig#AfterBind
31595,coypoop,src/run.bash: print version when running tests
31530,nsajko,cmd/asm: remove support for old assembly style AX:CX
31523,LeeXun,cmd/dist: add flag to keep workdir
31383,kichankwon,crypto/x509: use already parsed fields for certificate verification
31245,DylanMeeus,cmd/gofmt: have the doc.go match -h output
31171,nsajko,math/big: optimize amd64 asm shlVU and shrVU for shift==0 case
31169,ZZMarquis,encoding/asn1: support marshal uint/uint8/uint16/uint32/uint64
30808,nickmooney,time: fail when Parse is given a stdNumTZ as stdTZ
30533,zegl,cmd/go: make sure that the RelPaths always returns valid paths
30203,jellevandenhooff,cmd/compile: make duplicate anonymous interface output deterministic
30187,Saluev,context: allow cancelling a context with custom error
30152,benitogf,sync: add examples for Map
30034,Mottl,bufio: adds a comment about io.EOF in bufio.ReadLine()
30031,uploy,cmd/go/internal/modload/init:add more information for exec go mod init outside GOPATH
30024,leonklingele,database/sql: add missing error check in test
30023,leonklingele,runtime/pprof/internal/profile: do not ignore error
30014,leonklingele,internal/x/text/unicode/bidi: remove inefficient assignment
29950,tiborvass,cmd/go: honor vendor.conf fork repositories in modconv
29933,kevinkassimo,net: replace `' with `` to avoid breaking doc presentation
29882,arthurkushman,net/http: add MethodSearch as http request method SEARCH (RFC7230/7231)
29866,callum-oakley,net/http: track the state of HTTP/2 connections
29726,kolbycrouch,cmd/go,cmd/link: Adds shared linking support for FreeBSD/amd64
29460,cgopalan,net/url: give a proper error message on invalid character in scheme
29179,laches1sm,runtime: PROCESS_ALL_ACCESS didn't check for 0XFFFF
29140,robtimus,mime/multipart: allow custom content types to be given for form files
29138,skaldesh,time: cache the result of Time.sec calls in Time.Before
29072,ChrisPortman,encoding/asn1: allow the user to specify the time format used to unmarshal
28898,ChrisPortman,encoding/asn1: correctly parse GeneralizedTime
28814,mnewswanger,testing: correct benchmark output when running in parallel
28735,hellozee,encoding/json: document the unmarshalling of missing json fields
28733,hellozee,html/template: document that comments are stripped from html templates
28726,0leynikov,doc: add missing import of the log package
28624,cn007b,encoding/json: add simple example
28537,Silentd00m,math: add architecture independent maxint and maxuint
28516,jamdagni86,encoding/json: json.Unmarshal fails to unmarshal a custom Unmarshaler struct field
28487,cn007b,fmt: add additional example for Printf
28385,crholm,encoding/xml: allow cdata/chardata to be named and nested with annotations
28287,fstab,path/filepath: implement IsPatternValid(pattern)
28240,MrWako,cmd/go/internal/get: fix go get for Azure DevOps Git repos
27971,esell,net/http: add Post example
27813,pjebs,encoding/json: added "nonil" option for json encoding (slice/maps)
27809,Houndie,doc/articles/wiki: remove misleading code in tutorial
27742,eric-s-raymond,doc: clarify that signal receipt doesn't fire defer hooks
27579,jcmturner,encoding/asn1: add ability to marshal to general string
27570,BusyJay,time: make TZ parse more tolerant
27068,moficodes,encoding/json, encoding/xml: say "embedded field" instead of "anonymous field"
27018,minond,testing/quick: skip struct fields that cannot be set by Value function
26932,marioarranzr,archive/zip: example to registerDecompressor
26873,collinc97,crypto/elliptic: generalize elliptic.Curve to allow A != -3
26665,marwan-at-work,cmd/go/internal/modfetch: add unit tests to downloadZip
26661,marwan-at-work,cmd/go/internal/modfetch: update proxy usage
26023,arthurkushman,go/ast: add Filter func test on AST
25564,Al2Klimov,os: respect setuid and setgid bit in Mkdir() on *nix
25291,angeloc,cmd/dist: explicit option for crosscompilation
25154,dominicbarnes,encoding/json: include property name for marshal errors
24943,linzhp,cmd/go/internal/load: ignore vendor imports from testdata
24868,linzhp,cmd/go/internal/load: assign .ImportPath and .Root for a testdata package in GOPATH properly
23805,kirinrastogi,add function for bool in math/rand
